latitude,longitude
28.407422,68.60649
32.385205,72.036605
34.123178,72.128248
34.109862,67.394555
30.759323,69.271314
30.482816,73.348492
33.478283,67.993266
32.211049,68.929161
29.267783,68.238639
31.038595,67.874384
27.028033,67.056817
30.232633,68.469469
29.645761,72.537923
28.09518,71.80259
25.894058,69.926707
24.977006,72.926044
27.485066,70.995704
24.965486,71.525065
24.612983,67.538956
33.372597,68.684849
25.359068,68.821666
28.327598,72.791243
31.34512,73.202719
30.343117,67.162007
34.84804,71.901639
29.638082,70.515614
35.072152,71.140527
25.03706,72.224416
31.969907,73.423962
33.762014,72.792045
25.257634,74.181498
30.37523,69.351915
30.005022,71.368399
29.279933,73.116095
28.169172,73.133188
35.269193,73.988322
32.713457,69.42315
26.119141,72.395975
34.171356,72.844842
26.668959,73.092932
24.898659,68.539336
35.442081,71.517282
31.866537,73.421956
28.780493,74.115123
28.856525,70.102674
25.809554,71.693198
31.494587,69.222256
28.838028,68.526132
29.940943,70.344273
29.78921,72.180208
28.476978,70.456784
25.395009,67.129609
32.278294,74.205515
24.929083,67.846572
29.36321,72.635483
26.454357,73.871666
30.831395,67.616947
28.19882,72.39962
28.80778,67.425185
35.338276,71.472144
35.443233,72.101844
29.985535,68.571416
35.4306,68.082758
26.41251,68.703694
29.010525,74.220722
29.881771,69.655993
26.973493,74.428574
34.095659,72.517206
34.110323,70.532078
27.051166,74.332522
33.441,73.277976
32.147871,69.984907
29.042824,68.276508
33.567261,67.071785
33.289852,68.348796
34.502276,69.208047
30.59883,72.558979
26.413794,68.565534
31.833285,70.017584
35.15459,67.021342
28.112526,68.716091
25.810725,68.238816
34.36351,69.729377
30.541934,68.107346
29.350531,71.386151
31.680599,67.099165
27.691011,74.002682
29.685424,73.904871
30.215707,73.033996
29.820765,70.078996
26.275296,72.637974
25.181883,71.44293
30.423401,67.266358
25.722939,68.063346
27.616805,69.400733
34.129556,70.119757
28.299432,68.857245
26.005603,67.613756
25.712157,70.823879
25.918828,69.719266
30.519989,70.165877
29.844079,69.819166
33.327642,74.006821
33.281048,67.909542
32.800632,71.457846
25.744334,67.339528
34.230377,68.36508
31.386102,72.827083
29.278733,72.5226
28.267152,71.964396
31.5866,70.503662
34.165928,70.098997
34.796188,69.909413
27.39648,72.94801
33.027122,69.481981
34.690394,70.598251
25.161039,68.147165
27.448373,67.190191
28.658968,69.323385
24.52841,68.897634
27.961393,72.947302
25.279698,73.152278
30.929132,70.117865
28.94375,72.245828
31.472439,71.079938
26.370607,70.649407
34.941711,73.791735
34.849757,72.967982
31.431153,67.458731
33.284858,71.857467
33.809549,70.247826
32.981634,70.979735
34.502079,71.703373
29.121306,74.150313
29.532852,70.622853
31.292831,72.120401
30.859318,71.498808
31.089701,74.36794
32.267028,67.244885
25.438087,68.070473
30.993024,73.707165
31.738159,67.787754
29.962079,72.341305
34.787588,68.868717
30.389249,73.757181
25.605877,73.225755
26.715773,67.929486
32.554656,68.369554
25.931484,70.122194
26.809184,70.377668
34.270403,72.629578
33.681406,67.514896
34.524824,70.867688
30.574917,70.693303
30.912699,70.818815
30.744468,70.395745
32.514991,74.374506
34.575335,69.861026
26.247724,74.25639
29.013352,71.719705
34.722056,70.250079
32.102084,72.683918
30.4184,72.959116
31.142183,68.626715
34.136408,74.313778
30.138198,68.079983
28.942712,73.150076
32.624342,69.31469
24.515739,67.40913
32.050147,73.183484
29.197282,69.760415
31.290066,74.259959
35.162888,69.419726
29.813196,67.079173
29.854261,73.870283
29.34555,73.25915
29.99432,68.878667
29.461308,69.564496
28.801546,71.696898
32.504528,71.212021
29.87571,70.145696
31.138237,68.977807
25.759403,68.089997
28.370466,69.790369
27.165517,72.844761
29.588066,67.575031
28.902288,71.635095
35.104189,70.580821
24.663319,69.339173
31.985494,74.007349
29.306238,68.654659
24.839627,69.33115
27.197571,73.824457
34.895768,67.946142
29.05153,70.79668
29.004578,74.455181
25.024904,68.539554
28.897753,71.839716
26.565627,72.420417
30.546354,72.28664
31.827949,68.834641
25.305456,74.158609
33.8948,73.63481
25.603526,68.123429
34.367678,73.156959
25.70102,73.299337
35.148096,70.620923
27.781115,72.39262
30.555828,69.204856
32.897315,69.510606
35.002971,68.205389
30.970023,70.307206
27.354487,69.069438
27.654626,74.39493
25.252698,69.043492
35.45799,74.211774
26.291931,67.658522
34.49654,72.425672
29.470571,71.105545
34.773682,68.792947
25.381654,71.130043
33.911473,67.12519
25.641065,67.106309
33.603633,74.239832
32.447071,70.925625
30.030591,67.543729
26.222859,73.402739
32.738625,73.484988
34.942612,67.639456
30.154156,72.972918
24.756087,67.476505
29.306861,69.548442
34.951766,67.113102
35.321856,72.101835
26.123913,68.048912
25.922631,73.949754
30.406109,70.713438
34.90979,73.063189
29.058485,68.844608
31.773439,69.284094
33.15499,72.887269
32.254281,68.162001
34.370984,72.04643
25.981307,70.739215
28.983004,71.418365
31.658692,73.671813
34.631054,67.707063
33.194064,70.287723
32.164127,74.134624
27.424552,72.814496
26.737952,74.292176
33.69039,68.869793
33.591465,69.797394
26.072639,68.225022
26.295103,73.152288
27.337598,69.452099
26.801901,69.364443
28.405461,70.241001
25.681891,72.464207
31.922431,67.345027
32.32174,72.454362
32.362008,71.039772
34.555975,69.31415
30.006522,70.726476
35.408201,74.324577
27.703648,72.809417
28.396566,69.14511
27.183531,70.850513
32.196586,70.141807
33.672723,73.791498
27.539844,71.747668
26.953957,67.268275
35.359418,70.561955
28.670944,67.134758
29.854107,72.869234
24.589826,69.127588
27.682831,70.137649
26.101142,71.012673
26.728539,70.717838
34.830333,71.186377
34.445859,71.060503
35.090713,74.216909
33.61813,74.192285
27.682317,67.180477
29.734165,73.500715
33.059729,70.491257
26.097028,70.172373
31.34671,70.559987
28.737173,73.078506
33.190858,68.339234
27.196003,72.559115
32.735016,72.748533
24.79298,71.871824
34.69284,69.489375
27.913608,70.32409
30.89573,68.035017
25.428365,68.294337
33.886616,74.062479
32.452483,73.587655
32.934561,74.260312
25.364098,70.946976
25.475188,73.33091
27.819769,70.525099
35.152622,72.298939
33.510361,68.078829
31.587814,69.095668
33.798186,74.42187
27.047892,74.120936
33.356594,71.444688
30.325987,71.722767
25.849123,68.685872
28.821067,67.03139
30.711627,69.496163
25.621739,69.840248
25.314318,71.585889
30.582058,67.909818
32.417166,68.53302
30.063655,69.571034
28.768585,72.722202
30.811644,72.937291
25.481071,69.85727
31.385772,71.86816
25.233702,69.890314
25.78865,68.282403
34.372139,73.588098
26.461226,67.131229
28.000267,69.427505
28.104003,69.352784
28.627374,74.100315
26.896125,71.097051
27.874025,70.07333
26.785742,71.598802
30.124282,68.0518
34.229699,69.599615
25.072685,72.282652
29.193795,73.626305
24.827041,68.634197
32.421175,70.073815
31.069884,69.776489
34.785686,73.228506
25.265819,74.109383
32.084031,68.487437
26.832663,67.152085
29.126127,71.087972
31.73797,68.543879
24.899331,68.68117
28.101847,69.391155
34.12399,71.756738
34.043352,73.887571
27.225694,67.806322
26.967439,68.268842
26.075489,72.352006
33.45663,72.285016
31.895852,68.285015
27.061195,67.129078
34.30556,73.495673
32.717163,72.56408
27.454641,69.633822
33.965729,69.742608
35.443731,69.32127
34.292539,73.512996
34.477558,71.497832
28.351673,69.830839
27.701227,67.30678
34.175132,72.528404
33.513365,69.778877
26.854342,70.71599
26.653399,71.374832
31.209496,67.195507
26.479606,68.604259
27.685185,72.251943
26.380434,71.543643
27.802074,67.444115
32.400897,71.895581
29.513041,67.372565
34.61231,71.612742
33.72554,68.327236
25.577612,72.475017
33.518918,68.850294
31.128301,68.958728
26.934725,68.895995
33.244837,71.004278
26.989944,71.223185
33.361166,67.276987
26.618962,70.435073
35.480244,70.998298
34.615624,69.018494
30.148408,68.665139
28.810908,68.960851
29.317666,74.40905
28.449329,73.358792
25.563169,73.784221
32.446708,67.585943
27.689803,72.877006
35.202873,69.747273
25.936514,73.983532
32.030412,69.465323
27.551571,70.846393
31.430271,74.159619
32.489229,70.543618
28.758302,70.996095
27.806207,73.23675
27.261398,73.565412
25.616408,67.162445
34.748475,70.419727
34.379888,69.023461
28.510049,73.439117
25.333833,67.527655
31.467331,69.251419
31.421096,72.896551
34.106165,73.497035
28.421876,73.538787
26.517989,69.743288
35.17182,71.907177
30.82943,72.378023
35.135889,71.433045
34.959356,73.131816
33.694049,69.701475
30.747728,71.886226
34.330149,71.467462
34.97734,70.016453
33.625321,72.606732
25.781911,73.840425
33.681755,73.131835
29.100917,70.073777
26.565603,69.782213
29.146699,74.427421
29.592993,71.592643
33.258679,73.626689
31.993558,72.612876
34.759969,71.696786
35.023795,74.492679
24.755791,73.451687
31.454317,69.921414
31.919597,73.659941
31.998262,71.714694
29.263399,72.693784
31.749464,72.940635
29.005934,72.771531
33.820034,73.105898
33.764873,73.642548
25.703902,73.098777
31.472407,72.997996
29.805243,68.085687
28.766243,67.427892
30.419148,68.431557
31.902378,73.265903
26.728578,71.73161
27.49496,72.451134
26.957233,73.938605
25.739949,69.163265
31.2972,67.392648
32.170794,72.226667
27.832295,71.632361
25.592067,67.36273
33.666746,68.029773
34.943591,68.895588
27.08447,68.173408
30.214648,68.462631
29.661084,67.490786
31.218545,74.375694
29.084574,67.373698
29.734786,73.409125
26.157769,73.060005
32.898281,69.268869
25.7422,71.255143
26.756718,67.554125
24.750033,70.099468
25.538623,67.180963
27.798096,68.910852
35.389957,67.01034
34.169497,68.125146
28.437039,73.216943
26.13935,68.407702
31.684977,73.315145
31.153985,74.247986
32.360625,70.927861
26.71141,69.333419
28.435647,68.283548
31.692624,70.77958
32.148771,70.705206
33.14332,67.735305
35.21991,68.873183
33.055035,69.269274
30.791035,72.583086
29.59854,73.110562
34.542533,70.037897
28.871277,72.501459
32.326587,73.727001
33.466692,68.845364
30.120633,69.769821
25.049801,69.023892
33.42019,70.32128
27.527189,67.791758
30.775784,69.478436
30.494244,68.696828
34.53228,72.210299
34.490165,71.53679
25.026191,67.982425
25.229107,73.17363
